Years,World,Central and East Asia,Europe,Latin America,Middle East/North Africa,North America,Oceania,South Asia,Southeast Asia,Sub-Saharan Africa
2077,-0.459649907397021,0.245107741986926,-0.217601518326742,-0.441313429132124,-0.613183792928894,-0.322506813954447,-0.219633611451263,-0.144867098333464,-0.630842622715991,-0.590651897285038
2078,-0.463867272771456,0.248634358534232,-0.219980600688252,-0.445518510650089,-0.61784839119929,-0.325593716802315,-0.222161600536764,-0.146384214137194,-0.635753723621544,-0.595298171607487
2079,-0.467926658920216,0.252064525456794,-0.222281083155979,-0.449567461436315,-0.622319815981495,-0.328573756657215,-0.224605997619514,-0.147852750576245,-0.640456904657638,-0.599755092794549
2080,-0.471834399848261,0.25540033788263,-0.224505554830884,-0.453466446198416,-0.626606934328382,-0.331450764911973,-0.226969538637851,-0.149274235542284,-0.644961925046157,-0.604031177423097
2081,-0.475596576090855,0.258643896164496,-0.226656531116624,-0.45722139001241,-0.63071818903405,-0.334228445700998,-0.229254887525622,-0.150650157506083,-0.649278067484654,-0.608134538972968
2082,-0.479219020494547,0.261797297961056,-0.228736457515117,-0.460837983210242,-0.634661608153229,-0.33691037102184,-0.23146463081014,-0.15198196453248,-0.65341415772113,-0.612072910401357
2083,-0.482707332074035,0.264862628234326,-0.230747702438687,-0.464321695497279,-0.638444833832016,-0.339499988290619,-0.233601281061208,-0.153271061616229,-0.657378579558688,-0.615853656719147
2084,-0.48606687481649,0.267841963392897,-0.232692563788374,-0.46767777156591,-0.642075136674566,-0.342000622696693,-0.235667278127815,-0.154518816731345,-0.661179305627941,-0.619483793531929
2085,-0.489302792690783,0.270737361216493,-0.234573268948272,-0.470911245688313,-0.645559431621738,-0.344415479839113,-0.237664986075283,-0.155726554658934,-0.66482390857794,-0.622970000099354
2086,-0.492420016097447,0.273550857770548,-0.236391972903468,-0.474026947607488,-0.648904291220773,-0.346747648585313,-0.239596695224921,-0.156895562256917,-0.668319583263917,-0.626318642629571
2087,-0.495423268544128,0.276284469253246,-0.238150761991165,-0.477029508540818,-0.652115974043358,-0.349000104100237,-0.241464627498481,-0.158027088337825,-0.67167317109727,-0.629535776265327
2088,-0.498317073465889,0.278940185693777,-0.239851655029571,-0.47992336737778,-0.655200426947249,-0.351175711001426,-0.243270930728901,-0.159122341425841,-0.674891163952149,-0.632627169310973
